provider	id	species_key	cds_url	gff_url	gbff_url	genome_url	cds_archive_member	gff_archive_member	gbff_archive_member	genome_archive_member	cds_filename	gff_filename	gbff_filename	genome_filename	cds_url_template	gff_url_template	genome_url_template	local_cds_path	local_gff_path	local_gbff_path	local_genome_path
direct	Fagopyrum_esculentum_GWHBJBK00000000_direct	Fagopyrum_esculentum	https://download.cncb.ac.cn/gwh/Plants/Fagopyrum_esculentum_Pintian4_GWHBJBK00000000/GWHBJBK00000000.CDS.fasta.gz	https://download.cncb.ac.cn/gwh/Plants/Fagopyrum_esculentum_Pintian4_GWHBJBK00000000/GWHBJBK00000000.gff.gz		https://download.cncb.ac.cn/gwh/Plants/Fagopyrum_esculentum_Pintian4_GWHBJBK00000000/GWHBJBK00000000.genome.fasta.gz					GWHBJBK00000000.CDS.fasta.gz	GWHBJBK00000000.gff.gz		GWHBJBK00000000.genome.fasta.gz							
direct	Fragaria_ananassa_FAN_r2.3	Fragaria_ananassa	https://genome.kazusa.or.jp/download/KazusaGenomeDatabase/Strawberry_GARDEN/FAN_r2.3/FAN_r2.3_cds.fa.gz	https://genome.kazusa.or.jp/download/KazusaGenomeDatabase/Strawberry_GARDEN/FAN_r2.3/FAN_r2.3.gff.gz		https://genome.kazusa.or.jp/download/KazusaGenomeDatabase/Strawberry_GARDEN/FAN_r2.3/FAN_r2.3.pseudomolecule.fasta.gz					FAN_r2.3_cds.fa.gz	FAN_r2.3.gff.gz		FAN_r2.3.pseudomolecule.fasta.gz							
direct	https://ngdc.cncb.ac.cn/gwh/Genome/1177/show	Ginkgo_biloba		https://download.cncb.ac.cn/gwh/Plants/Ginkgo_biloba_Gbi_Chr_GWHBAVD00000000/GWHBAVD00000000.gff.gz		https://download.cncb.ac.cn/gwh/Plants/Ginkgo_biloba_Gbi_Chr_GWHBAVD00000000/GWHBAVD00000000.genome.fasta.gz						GWHBAVD00000000.gff.gz		GWHBAVD00000000.genome.fasta.gz							
direct	https://treegenesdb.org/organism/Gnetum-montanum	Gnetum_montanum	https://treegenesdb.org/FTP/Genomes/Gnmo/v1.0/annotation/Gnmo.1_0.cds.fa.gz	https://treegenesdb.org/FTP/Genomes/Gnmo/v1.0/annotation/Gnmo.1_0.gff.gz		https://treegenesdb.org/FTP/Genomes/Gnmo/v1.0/genome/Gnmo.1_0.fa.gz					Gnmo.1_0.cds.fa.gz	Gnmo.1_0.gff.gz		Gnmo.1_0.fa.gz							
direct	Gossypium_herbaceum_CottonGen_A1_USDA_Wagad	Gossypium_herbaceum	https://www.cottongen.org/cottongen_downloads/Gossypium_herbaceum/A1_USDA/genes/A1.transcripts.fa.gz	https://www.cottongen.org/cottongen_downloads/Gossypium_herbaceum/A1_USDA/genes/A1.gff3.gz		https://www.cottongen.org/cottongen_downloads/Gossypium_herbaceum/A1_USDA/assembly/A1.wagad.fasta.gz					Gherbaceum_A1.transcripts.fa.gz	Gherbaceum_A1.gff3.gz		Gherbaceum_A1.wagad.fasta.gz							
direct	Hypericum_perforatum_GWH_GitHub	Hypericum_perforatum		https://raw.githubusercontent.com/TatsisLab/ScRNA-seq-pipeline/main/Hp_genome/Hp.gff.zip		https://download.cncb.ac.cn/gwh/Plants/Hypericum_perforatum_subsp._chinense_Hp1_GWHEUWF00000000.1/GWHEUWF00000000.1.genome.fasta.gz		Hp.gff				Hp.gff		GWHEUWF00000000.1.genome.fasta.gz							
direct	https://doi.org/10.57760/sciencedb.j00210.00050	Iris_domestica		https://china.scidb.cn/download?fileId=a7e7ba0dc296d720f6a8d4b22dd7ac60		https://china.scidb.cn/download?fileId=d18291d999d37a75c6fa07712ae45309						Iris_domestica.Gene.gff.gz		Iris_domestica.genome.fasta.gz							
direct	Lavandula_angustifolia_Figshare	Lavandula_angustifolia	https://ndownloader.figshare.com/files/42052020	https://ndownloader.figshare.com/files/42052023		https://ndownloader.figshare.com/files/42052011					lav_v1.cds.fa.gz	lav_v1.gff3.gz		lav_v1.genome.fa.gz							
direct	Lens_culinaris_Lcu.2RBY	Lens_culinaris	https://knowpulse.usask.ca/data_files/assemblies/Lcu.2RBY.zip	https://knowpulse.usask.ca/data_files/assemblies/Lcu.2RBY.zip		https://knowpulse.usask.ca/data_files/assemblies/Lcu.2RBY.zip	Lcu.2RBY/Lcu.2RBY.cds.fasta	Lcu.2RBY/Lcu.2RBY.hc_genes.gff3		Lcu.2RBY/Lcu.2RBY.fasta	Lcu.2RBY.cds.fasta	Lcu.2RBY.hc_genes.gff3		Lcu.2RBY.fasta							
direct	Lens_ervoides_CNGB_SciRAID	Lens_ervoides	https://ftp.cngb.org/pub/SciRAID/genomics/plants/angiosperm/lens_ervoides/02.annotation/Lervoides_719_v1.cds.fa.gz	https://ftp.cngb.org/pub/SciRAID/genomics/plants/angiosperm/lens_ervoides/02.annotation/Lervoides_719_v1.gene.gff3.gz		https://ftp.cngb.org/pub/SciRAID/genomics/plants/angiosperm/lens_ervoides/01.assembly/Lervoides_719_v1.fa.gz															
